;2023;;2022;;2021;;2020;;2019;;2018;;2017;;2016;;2015;
País;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel;Gasolina;Diesel
España [+];1,680 €;1,657 €;1,565 €;1,643 €;1,476 €;1,344 €;1,185 €;1,069 €;1,303 €;1,221 €;1,212 €;1,164 €;1,235 €;1,138 €;1,216 €;1,106 €;1,141 €;1,006 €
Alemania [+];1,871 €;1,829 €;1,747 €;1,818 €;1,659 €;1,518 €;1,281 €;1,112 €;1,371 €;1,254 €;1,425 €;1,299 €;1,355 €;1,180 €;1,380 €;1,194 €;1,299 €;1,056 €
Reino Unido [+];1,249 €;1,301 €;1,490 €;1,553 €;1,346 €;1,460 €;1,360 €;1,404 €;1,367 €;1,410 €;1,432 €;1,489 €;1,465 €;1,543 €;1,552 €;1,645 €;1,625 €;1,725 €
Francia [+];1,835 €;1,848 €;1,655 €;1,749 €;1,635 €;1,532 €;1,358 €;1,261 €;1,521 €;1,456 €;1,432 €;1,425 €;1,403 €;1,279 €;1,365 €;1,199 €;1,269 €;1,048 €
Italia [+];1,919 €;1,897 €;1,625 €;1,690 €;1,722 €;1,587 €;1,428 €;1,304 €;1,578 €;1,474 €;1,520 €;1,461 €;1,549 €;1,420 €;1,509 €;1,369 €;1,451 €;1,312 €
Portugal [+];1,760 €;1,711 €;1,600 €;1,607 €;1,664 €;1,503 €;1,405 €;1,262 €;1,481 €;1,369 €;1,435 €;1,310 €;1,482 €;1,281 €;1,433 €;1,202 €;1,345 €;1,093 €
Estados Unidos [+];0,896 €;1,114 €;0,769 €;1,128 €;0,765 €;0,844 €;0,485 €;0,570 €;0,607 €;0,725 €;0,523 €;0,703 €;0,551 €;0,647 €;0,584 €;0,642 €;0,490 €;0,539 €
Austria [+];1,630 €;1,750 €;1,454 €;1,654 €;1,398 €;1,389 €;1,072 €;1,043 €;1,228 €;1,199 €;1,212 €;1,219 €;1,194 €;1,146 €;1,171 €;1,126 €;1,110 €;1,020 €
Bélgica [+];1,704 €;1,865 €;1,634 €;1,737 €;1,615 €;1,627 €;1,301 €;1,323 €;1,408 €;1,458 €;1,326 €;1,454 €;1,332 €;1,279 €;1,329 €;1,231 €;1,211 €;1,041 €
Bulgaria [+];1,427 €;1,446 €;1,287 €;1,525 €;1,193 €;1,216 €;0,897 €;0,891 €;1,106 €;1,111 €;1,001 €;1,091 €;1,043 €;1,034 €;1,016 €;0,997 €;1,043 €;1,055 €
Chequia [+];1,602 €;1,618 €;1,496 €;1,560 €;1,435 €;1,399 €;1,065 €;1,051 €;1,244 €;1,240 €;1,230 €;1,257 €;1,184 €;1,155 €;1,115 €;1,094 €;1,075 €;1,080 €
Chipre [+];1,584 €;1,716 €;1,435 €;1,664 €;1,324 €;1,423 €;1,067 €;1,088 €;1,186 €;1,255 €;1,207 €;1,296 €;1,219 €;1,238 €;1,190 €;1,199 €;1,168 €;1,172 €
Croacia [+];1,563 €;1,740 €;1,331 €;1,595 €;1,486 €;1,478 €;1,215 €;1,186 €;1,341 €;1,331 €;1,258 €;1,277 €;1,271 €;1,207 €;1,252 €;1,164 €;1,198 €;1,087 €
Dinamarca [+];1,952 €;1,834 €;1,824 €;1,811 €;1,764 €;1,536 €;1,458 €;1,235 €;1,629 €;1,389 €;1,503 €;1,338 €;1,534 €;1,294 €;1,486 €;1,286 €;1,391 €;1,154 €
Eslovaquia [+];1,614 €;1,661 €;1,487 €;1,616 €;1,465 €;1,369 €;1,194 €;1,062 €;1,324 €;1,232 €;1,257 €;1,220 €;1,303 €;1,160 €;1,267 €;1,132 €;1,216 €;1,055 €
Eslovenia [+];1,577 €;1,680 €;1,318 €;1,545 €;1,286 €;1,398 €;1,003 €;1,067 €;1,302 €;1,246 €;1,228 €;1,266 €;1,289 €;1,236 €;1,242 €;1,138 €;1,220 €;1,099 €
Estonia [+];1,781 €;1,677 €;1,711 €;1,712 €;1,512 €;1,333 €;1,244 €;1,050 €;1,392 €;1,393 €;1,260 €;1,310 €;1,237 €;1,237 €;1,116 €;1,121 €;0,999 €;1,013 €
Finlandia [+];1,986 €;2,007 €;1,851 €;1,985 €;1,794 €;1,651 €;1,419 €;1,296 €;1,532 €;1,432 €;1,484 €;1,469 €;1,435 €;1,328 €;1,438 €;1,331 €;1,389 €;1,231 €
Grecia [+];1,896 €;1,803 €;1,827 €;1,791 €;1,737 €;1,477 €;1,432 €;1,160 €;1,591 €;1,383 €;1,510 €;1,368 €;1,534 €;1,303 €;1,466 €;1,161 €;1,396 €;1,095 €
Hungría [+];1,561 €;1,696 €;1,567 €;1,778 €;1,294 €;1,288 €;1,023 €;1,073 €;1,167 €;1,234 €;1,089 €;1,210 €;1,138 €;1,178 €;1,154 €;1,199 €;1,043 €;1,038 €
Irlanda [+];1,853 €;1,855 €;1,569 €;1,693 €;1,699 €;1,598 €;1,275 €;1,181 €;1,431 €;1,332 €;1,399 €;1,318 €;1,399 €;1,299 €;1,329 €;1,229 €;1,299 €;1,199 €
Letonia [+];1,729 €;1,732 €;1,599 €;1,643 €;1,462 €;1,302 €;1,156 €;1,034 €;1,275 €;1,205 €;1,211 €;1,204 €;1,187 €;1,093 €;1,115 €;1,047 €;1,062 €;0,990 €
Lituania [+];1,557 €;1,575 €;1,493 €;1,655 €;1,459 €;1,360 €;1,095 €;1,012 €;1,209 €;1,144 €;1,119 €;1,115 €;1,145 €;1,042 €;1,100 €;1,008 €;1,051 €;0,959 €
Luxemburgo [+];1,559 €;1,624 €;1,485 €;1,597 €;1,440 €;1,338 €;1,071 €;0,975 €;1,213 €;1,111 €;1,137 €;1,084 €;1,180 €;1,043 €;1,157 €;1,008 €;1,094 €;0,921 €
Malta [+];1,340 €;1,210 €;1,340 €;1,210 €;1,340 €;1,210 €;1,340 €;1,210 €;1,410 €;1,280 €;1,360 €;1,230 €;1,310 €;1,180 €;1,270 €;1,140 €;1,350 €;1,260 €
Países Bajos [+];2,031 €;1,888 €;1,757 €;1,754 €;1,963 €;1,597 €;1,561 €;1,243 €;1,667 €;1,384 €;1,516 €;1,299 €;1,565 €;1,272 €;1,557 €;1,247 €;1,463 €;1,131 €
Polonia [+];1,354 €;1,364 €;1,409 €;1,653 €;1,242 €;1,250 €;1,010 €;1,004 €;1,157 €;1,189 €;1,128 €;1,191 €;1,109 €;1,081 €;1,079 €;1,053 €;0,985 €;0,965 €
Rumanía [+];1,418 €;1,531 €;1,296 €;1,533 €;1,218 €;1,215 €;0,975 €;0,977 €;1,145 €;1,180 €;1,090 €;1,175 €;1,117 €;1,141 €;1,148 €;1,144 €;1,106 €;1,075 €
Suecia [+];1,717 €;2,158 €;1,695 €;2,118 €;1,671 €;1,829 €;1,388 €;1,405 €;1,490 €;1,543 €;1,410 €;1,492 €;1,441 €;1,441 €;1,429 €;1,431 €;1,314 €;1,266 €
